Sector,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023
Agriculture Forestry and Fishing,1498.5,1525.7,1554.3,1590.2,1659.6,1696.8,1736.4,1777.9,1808.4,1855.3,1891.6,1917.7,1718.0,1754.5,1790.4,1838.2,1869.7,1932.5,1971.9,1987.4,2033.7,2043.2,2080.3,2110.0,1848.5,1879.4,1928.3,1977.9,1985.5,2004.9,2039.4,2051.9,2150.9,2110.6,2109.0,2186.1,2197.2,2283.6,2310.7,2272.0,2287.5,2245.9,2261.7,2300.6,2172.6,2191.4,2257.3,2262.4,2247.9,2256.1,2289.3,2259.3,1981.5,1880.4,1848.9,1887.1
Oil and Gas Extraction,1285.0,1269.4,1287.7,1071.3,1021.0,1133.4,1144.2,989.7,1012.2,1027.7,1028.8,1062.2,953.2,921.4,888.1,861.6,856.8,777.5,810.0,814.1,789.8,796.9,756.9,706.3,642.4,667.1,633.8,647.5,610.8,570.9,494.0,618.1,602.7,562.4,539.7,540.8,532.6,524.5,502.3,499.9,519.7,563.4,444.4,506.1,644.4,641.9,572.9,584.6,571.7,536.1,510.3,519.7,506.4,547.8,529.4,515.2
Mining Products Extraction,212.1,209.0,217.5,236.1,92.6,89.0,104.4,106.5,119.5,108.7,130.5,88.3,93.5,130.8,140.5,137.8,151.2,159.3,138.2,123.4,115.5,89.4,142.7,156.8,148.0,142.8,105.5,156.1,174.2,149.6,152.0,136.1,105.5,153.0,151.6,136.3,151.7,153.9,142.1,191.0,170.2,119.7,122.2,116.2,119.4,161.8,174.3,194.4,174.9,169.4,147.6,154.8,166.8,160.4,151.3,153.6
Agro Food Industries,653.8,643.4,682.4,641.5,638.0,662.7,678.8,687.3,690.5,684.3,682.5,714.7,723.1,688.8,669.5,694.8,661.2,690.9,694.2,725.6,816.2,732.1,724.1,709.0,736.0,736.5,748.1,740.2,731.0,740.9,773.7,790.7,818.1,794.2,801.9,777.2,788.1,816.5,815.4,826.5,905.2,778.0,803.5,764.2,793.3,819.6,802.8,812.1,864.3,823.0,775.2,802.8,816.5,784.1,781.5,791.9
Textile Clothing and Leather Industry,670.9,663.9,671.7,689.1,664.0,682.1,660.8,650.5,646.5,631.2,634.8,634.2,644.5,645.1,653.5,638.2,646.0,634.9,622.1,629.2,605.8,608.6,602.1,603.3,607.1,608.0,608.1,602.6,608.2,602.2,608.9,615.5,618.0,624.7,623.1,621.1,610.0,600.1,591.4,585.3,517.4,352.8,590.6,550.0,526.4,528.5,564.3,564.3,589.0,617.1,633.8,640.6,652.4,625.7,606.6,598.9
Petroleum Refining,33.3,13.5,11.9,17.6,26.1,28.9,72.3,66.7,53.6,49.8,52.8,48.9,48.9,48.0,46.4,46.1,44.1,45.0,42.9,43.9,42.9,42.5,30.7,32.5,22.6,14.4,15.5,11.4,13.1,15.1,17.9,12.1,12.9,15.5,16.2,17.6,9.7,8.5,7.2,17.8,35.4,27.0,30.8,9.7,30.1,27.5,22.1,25.6,27.6,30.6,29.2,31.1,32.2,21.2,25.4,29.6
Chemical Industry,301.9,267.6,302.5,317.6,182.3,238.1,191.1,206.5,235.3,214.1,236.3,238.5,222.5,254.1,241.6,264.8,253.2,253.7,237.2,231.7,224.2,212.5,220.1,246.3,268.5,252.5,222.7,243.5,257.6,243.3,254.1,248.0,229.5,256.2,245.1,249.4,249.8,245.3,253.9,250.1,269.2,227.2,220.9,217.5,256.8,242.3,252.6,275.0,262.5,255.8,252.4,272.5,249.5,248.8,232.7,232.7
Construction Materials Ceramic and Glass,228.8,232.1,233.7,234.5,228.6,229.6,229.6,232.2,238.4,243.3,243.4,245.6,247.3,243.5,247.0,247.3,255.7,255.9,252.4,249.5,245.0,249.0,244.9,249.3,253.9,248.9,230.0,242.6,234.4,230.4,230.0,223.9,221.5,223.7,228.9,227.0,225.7,225.6,224.8,230.7,205.9,144.7,219.9,233.5,233.7,235.5,221.0,228.7,227.0,219.9,225.7,216.8,214.3,207.7,216.1,189.5
Mechanical and Electrical Industries,799.3,845.7,822.2,840.2,828.3,853.1,885.2,875.2,852.4,861.9,885.0,871.8,874.4,871.3,871.7,858.5,898.2,860.7,882.0,901.9,888.5,875.3,876.3,896.2,898.4,887.9,899.3,919.7,927.7,932.8,933.0,967.5,975.5,936.0,955.8,963.6,967.7,944.9,933.5,935.4,814.9,639.2,828.1,872.6,876.5,922.9,863.8,870.1,910.5,961.9,948.4,973.3,983.5,994.7,998.2,1027.7
Miscellaneous Industries,403.9,410.6,406.9,411.8,414.5,420.5,417.8,413.1,411.8,406.2,406.9,402.7,398.8,401.9,401.6,410.0,417.0,411.4,411.3,409.4,405.0,398.8,398.6,401.5,406.3,402.8,402.1,402.9,403.6,399.6,403.7,399.3,403.3,397.8,401.9,399.2,398.2,395.3,391.6,393.7,365.1,298.6,373.1,369.6,384.4,390.5,387.5,383.9,385.6,390.8,396.2,391.1,391.3,397.4,414.7,407.3
